datetime,mav_roll,mav_pitch,mav_tilt,mav_acc_x,mav_acc_y,mav_acc_z,sonic_wind_dir,sonic_wind
2020-03-26 17:56:05+00:00,1.153956236,3.548461089,3.731151042,0.055290771,-0.043434414,-0.043434414,125.6320625,3.713473544
2020-03-26 17:56:06+00:00,2.310247377,3.292704292,4.021600044,0.058797328,-0.048503101,-0.048503101,132.9735782,3.374840467
2020-03-26 17:56:07+00:00,5.367128035,3.139769995,6.215735015,0.057315826,-0.059461849,-0.059461849,120.416776,3.907306827
2020-03-26 17:56:08+00:00,5.290944031,3.086423609,6.123152877,0.058215934,-0.062442894,-0.062442894,122.9147068,4.813664953
2020-03-26 17:56:09+00:00,2.847314695,3.745717658,4.703833197,0.061012436,-0.058783428,-0.058783428,123.0459297,4.986589352
2020-03-26 17:56:10+00:00,0.067095341,3.217923225,3.2186219,0.046256996,-0.054848596,-0.054848596,125.437335,4.938082885
2020-03-26 17:56:11+00:00,4.246745299,2.771608982,5.069771924,0.052901361,-0.055047723,-0.055047723,119.9663344,5.395262516
2020-03-26 17:56:12+00:00,6.642000335,3.260828166,7.396045232,0.056506999,-0.057727645,-0.057727645,143.9135512,5.294899505
2020-03-26 17:56:13+00:00,4.425332034,3.236098237,5.480425028,0.043936566,-0.071910758,-0.071910758,151.2496711,5.41515199
2020-03-26 17:56:14+00:00,-2.77932944,1.887859933,3.359448045,0.039486419,-0.047166137,-0.047166137,154.4039463,4.408875345
2020-03-26 17:56:15+00:00,2.715438876,2.858808316,3.942115206,0.056820256,-0.050302212,-0.050302212,137.1238419,4.261464348
2020-03-26 17:56:16+00:00,6.117089171,4.316952692,7.482243821,0.096505288,-0.058668677,-0.058668677,147.443694,3.497894959
2020-03-26 17:56:17+00:00,2.382225152,5.932719094,6.391545499,0.09526593,-0.071043668,-0.071043668,144.9333559,2.943510874
2020-03-26 17:56:18+00:00,2.199343499,6.244418313,6.618965425,0.102725892,-0.060128029,-0.060128029,139.4449181,3.334893657
2020-03-26 17:56:19+00:00,4.261768791,5.956661632,7.31976662,0.105024382,-0.059828129,-0.059828129,148.2971276,3.332694218
2020-03-26 17:56:20+00:00,3.683831154,5.890317727,6.94396133,0.095773518,-0.060470324,-0.060470324,145.9540626,4.290217549
2020-03-26 17:56:21+00:00,2.000614493,5.864476477,6.195204164,0.10159208,-0.059281337,-0.059281337,141.7040334,4.648421846
2020-03-26 17:56:22+00:00,3.081268289,5.884334842,6.639744031,0.10370691,-0.054962323,-0.054962323,148.807684,4.569952738
2020-03-26 17:56:23+00:00,4.182863518,5.795029416,7.142757873,0.096689584,-0.059252824,-0.059252824,158.1568107,4.148065633
2020-03-26 17:56:24+00:00,8.478992438,5.407329689,10.04582713,0.097739919,-0.061208542,-0.061208542,152.8057173,4.343714769
2020-03-26 17:56:25+00:00,-2.302992113,5.464109647,5.928252398,0.091595859,-0.055771471,-0.055771471,166.5424275,4.888911467
2020-03-26 17:56:26+00:00,2.290635516,5.815115546,6.248563788,0.104457893,-0.054448472,-0.054448472,160.4228544,5.02754818
